Product.Description,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020
Product 2297,42,2,710,435,639,147,297,194,334,505,751,69,496,949,640,622,94,494,249,666,551,879,133,927,168,714,546,699,636,170,799,468,58,341,747,197,196,359,304,58,659
Product 2298,813,777,125,7,50,66,199,553,652,561,176,850,993,304,791,2,404,777,884,348,173,294,980,102,409,486,1,11,314,658,173,248,153,304,600,984,410,900,349,811,244
Product 2299,843,637,873,145,330,372,62,428,286,496,346,951,874,126,789,345,824,33,145,287,955,568,751,154,6,45,374,717,327,891,793,253,684,361,493,438,572,535,230,103,423
Product 2300,572,186,451,344,638,123,914,264,46,834,480,432,813,873,560,217,980,371,960,49,794,410,936,459,498,943,246,528,79,118,54,427,977,205,899,108,371,825,294,54,19
Product 2301,770,389,163,976,904,368,338,240,849,795,517,743,129,600,698,309,245,581,968,24,585,918,629,728,561,475,82,484,778,826,839,499,540,844,322,962,891,192,474,161,858
Product 2302,482,584,31,589,345,411,241,903,237,561,990,201,932,235,804,240,111,416,114,388,317,721,983,299,443,573,528,534,632,712,956,450,565,585,295,778,735,954,139,512,284
Product 2303,812,254,91,396,315,519,398,337,455,165,819,334,749,967,105,720,876,709,23,481,352,949,196,483,172,118,845,664,87,478,872,404,558,763,149,765,324,70,87,564,985
Product 2304,291,983,839,354,845,388,52,832,941,105,317,188,423,154,723,189,143,506,321,17,364,436,820,248,943,16,293,520,459,550,63,945,374,443,510,171,718,885,972,918,415
Product 2305,436,850,758,945,333,676,424,702,208,650,773,478,430,910,420,839,240,333,439,779,380,304,158,585,489,143,986,236,757,89,434,880,734,665,942,326,147,780,359,250,911
Product 2306,481,952,256,817,30,776,293,916,207,28,700,644,766,796,849,574,435,73,372,391,583,261,14,680,739,111,47,326,10,764,102,663,236,633,824,292,453,706,984,528,835
Product 2307,255,262,476,108,817,634,240,459,997,642,980,46,134,651,212,448,214,501,757,591,629,112,937,588,399,188,638,903,869,485,540,282,3,675,739,570,474,20,153,380,954
Product 2308,295,932,912,125,47,16,121,968,924,15,536,493,316,872,581,339,604,559,462,751,65,23,178,733,309,219,801,276,542,647,654,689,834,305,930,719,156,813,373,37,147
Product 2309,356,801,86,230,159,721,743,677,598,671,307,763,541,463,957,628,594,147,594,174,83,254,279,334,865,334,665,186,32,331,394,407,755,942,507,525,729,795,711,911,56
Product 2310,466,501,240,155,944,671,856,8,430,510,148,674,198,437,493,471,991,944,854,362,446,264,136,669,524,58,517,284,838,265,895,123,902,993,534,566,162,314,531,392,538
Product 2311,225,348,203,355,969,502,447,243,669,956,253,340,405,488,194,481,355,497,993,669,171,927,651,910,483,376,348,249,436,867,517,785,226,276,982,793,29,857,303,383,412
Product 2312,401,500,112,393,556,173,527,801,336,527,461,358,89,305,131,751,800,453,120,743,371,313,744,773,253,325,503,998,505,296,981,977,916,920,947,498,137,619,27,467,875
Product 2313,811,992,164,841,59,85,116,762,885,535,992,203,598,912,39,674,49,564,656,769,568,107,590,407,789,125,745,425,747,719,209,1000,789,331,568,164,418,924,570,315,876
Product 2314,222,995,4,884,273,715,231,969,342,197,640,499,866,338,657,560,440,411,207,163,995,188,1000,240,979,673,824,238,745,577,209,331,935,982,203,233,953,838,930,209,228
Product 2315,289,962,95,893,947,754,563,455,912,374,85,823,253,974,788,51,191,448,62,694,190,779,565,469,955,21,249,14,594,519,131,503,527,189,674,273,389,536,915,387,608
Product 2316,272,620,338,710,362,654,871,852,572,392,492,414,632,45,337,421,552,732,628,989,647,50,298,693,890,59,201,44,233,705,747,721,587,464,184,700,386,663,57,959,591
Product 2317,277,958,888,660,192,958,826,778,260,539,467,350,131,854,822,657,774,733,73,443,808,419,565,763,687,567,480,888,384,584,865,651,934,60,190,987,772,106,846,841,533
Product 2318,680,819,234,785,213,910,923,670,591,799,585,601,724,647,900,763,640,633,124,786,716,624,749,762,8,904,47,783,966,225,456,840,566,352,613,975,469,437,216,780,635
Product 2319,172,20,683,833,294,5,113,492,995,208,692,741,169,188,617,316,877,517,346,225,545,126,377,685,255,655,840,661,238,49,827,301,765,95,34,29,354,94,716,865,806
Product 2320,745,674,439,91,47,991,758,695,561,284,380,529,124,581,143,368,834,185,582,451,959,71,35,624,775,849,456,920,239,367,403,635,990,549,874,146,559,943,328,742,435
Product 2321,901,540,54,396,523,473,622,225,472,548,11,821,591,223,135,795,65,791,245,255,90,127,921,720,13,734,959,280,555,691,104,390,181,839,610,993,440,683,660,707,758
Product 2322,392,839,140,944,222,856,311,115,799,198,821,370,469,238,103,275,139,727,15,649,729,259,131,186,799,837,1000,76,471,513,47,798,253,127,32,698,584,935,808,13,163
Product 2323,348,797,709,156,246,873,983,82,529,417,237,364,869,338,42,136,150,523,314,2,241,28,929,885,39,547,294,68,626,504,365,717,184,536,521,581,889,443,517,998,780
Product 2324,251,912,803,696,58,510,110,755,424,951,546,196,183,932,114,499,965,505,127,974,927,701,221,506,989,77,6,681,850,428,353,825,785,777,773,86,267,331,861,855,564
Product 2325,198,745,424,634,873,942,387,309,698,82,566,670,85,477,180,832,36,510,527,229,14,662,895,518,960,348,26,795,997,518,97,396,221,56,386,888,287,505,844,26,987
Product 2326,577,112,177,865,940,76,20,605,857,811,814,883,419,44,170,216,211,792,504,54,399,239,454,390,440,508,245,756,876,793,967,466,760,396,474,936,361,648,314,106,449
Product 2327,698,245,729,694,305,971,14,455,642,968,982,157,733,790,225,575,105,106,981,207,462,99,396,855,776,229,486,854,474,549,148,530,130,338,129,785,923,737,979,59,840
Product 2328,434,658,846,472,7,349,384,307,281,288,959,359,899,748,497,526,917,233,596,300,639,483,629,856,340,64,509,304,411,835,358,67,503,967,114,186,505,343,969,746,807
Product 2329,438,394,112,710,348,298,13,527,280,962,754,559,235,653,561,408,40,607,901,217,240,602,606,734,537,818,464,765,457,987,938,653,1000,324,499,722,95,366,769,252,803
Product 2330,750,417,251,180,324,555,756,706,265,266,352,694,824,178,912,455,849,347,157,957,165,691,309,542,779,179,842,430,95,461,303,310,873,354,973,280,330,494,116,325,167
Product 2331,903,395,361,696,108,351,103,971,718,96,528,287,859,291,378,613,256,881,83,38,391,453,853,118,227,59,882,352,189,938,866,71,980,463,976,51,862,691,570,342,788
Product 2332,734,740,620,688,386,62,131,559,425,23,663,637,549,521,216,493,273,939,147,241,463,135,114,552,847,977,99,161,382,860,881,327,884,14,686,513,685,814,404,799,379
Product 2333,672,816,15,77,760,517,400,851,407,328,394,198,509,450,458,748,284,496,59,15,816,482,178,806,227,627,580,875,894,152,116,194,810,802,815,258,230,300,696,753,781
Product 2334,363,373,989,729,972,977,7,905,931,123,873,948,408,331,59,279,231,966,782,763,469,281,536,193,406,183,744,87,527,236,188,525,653,400,172,509,641,507,856,315,209
Product 2335,93,618,960,672,97,726,53,296,349,369,789,86,741,123,51,311,85,503,152,872,219,613,943,62,876,62,810,276,171,675,658,477,937,127,837,510,176,349,552,269,857
Product 2336,175,551,994,349,887,622,22,573,704,764,540,295,128,340,964,407,23,345,20,562,280,410,993,74,381,310,825,560,660,850,234,60,974,652,16,423,606,635,904,925,896
Product 2337,51,242,665,494,233,574,493,729,984,706,989,500,287,113,384,289,82,123,99,528,190,656,207,847,889,869,656,897,726,686,324,157,541,830,631,877,68,163,941,731,164
Product 2338,983,789,215,277,842,462,368,63,787,767,100,943,808,634,675,981,423,618,48,955,96,543,755,24,818,503,318,993,694,182,70,194,829,136,869,809,153,5,926,53,625
Product 2339,645,545,288,764,581,368,957,312,671,863,754,777,274,224,98,639,648,449,95,489,675,756,178,269,788,481,608,305,286,470,897,410,988,794,749,347,962,669,206,904,199
Product 2340,249,600,882,965,918,564,695,248,40,571,465,328,657,682,596,108,531,872,451,878,953,66,824,924,941,446,980,643,15,998,128,295,943,642,190,765,892,923,804,544,531
Product 2341,575,224,419,154,16,392,661,978,841,968,406,152,504,216,49,727,341,69,495,348,869,213,711,303,961,541,878,627,226,930,201,517,928,997,68,378,408,835,419,633,665
Product 2342,368,969,570,975,787,984,614,701,357,40,844,942,280,626,307,475,410,769,728,428,839,126,962,942,452,153,468,198,229,852,381,725,828,639,163,708,682,312,554,767,607
Product 2343,27,802,308,941,922,385,252,495,673,210,585,177,613,373,862,375,825,733,179,48,330,240,308,748,203,818,229,231,965,647,449,620,779,922,766,965,386,37,103,407,415
Product 2344,308,695,967,910,508,739,773,799,617,975,848,797,759,603,932,549,436,732,385,292,107,826,892,749,129,862,177,727,415,630,699,588,196,642,144,94,337,216,840,112,180
Product 2345,742,752,237,888,827,596,249,264,83,680,783,619,340,776,55,402,531,18,361,446,684,415,428,621,170,722,69,908,872,253,961,110,160,850,834,549,901,460,984,446,782
Product 2346,502,713,494,877,743,686,221,333,762,210,291,440,82,997,342,60,728,225,897,19,953,552,15,765,339,180,427,522,266,65,377,993,986,120,302,202,212,601,700,941,664
Product 2347,779,218,918,65,70,713,532,143,662,340,819,754,176,721,239,590,592,805,581,278,999,647,832,841,661,235,463,704,974,714,230,71,764,148,116,728,826,560,228,567,600
Product 2348,779,921,797,254,841,648,368,897,16,576,853,614,896,749,335,613,300,200,865,476,324,3,536,87,626,915,777,739,172,154,187,853,425,823,269,95,144,178,920,149,855
Product 2349,422,643,787,825,107,381,359,199,717,883,1,161,595,115,902,2,801,726,135,367,151,515,631,222,254,64,477,601,730,75,965,254,472,237,567,559,656,276,200,569,165
Product 2350,298,174,949,984,81,482,352,706,313,883,792,683,648,650,870,945,148,55,927,526,527,547,179,741,139,969,953,418,904,248,958,824,281,723,589,411,100,728,599,295,99
Product 2351,134,965,326,981,466,189,30,38,367,123,807,764,442,219,277,886,561,794,880,414,562,266,193,294,211,997,831,119,867,837,52,856,423,304,187,49,102,434,526,953,624
Product 2352,26,621,285,695,617,832,210,869,402,223,676,492,701,847,115,399,644,637,633,991,107,941,150,29,375,128,943,555,176,555,684,389,736,181,723,983,460,350,330,11,537
Product 2353,988,842,962,23,612,451,568,404,488,96,123,293,153,970,550,883,737,749,742,246,452,100,308,540,678,413,973,42,931,489,99,157,941,431,806,667,791,76,445,522,985
Product 2354,871,740,503,861,367,92,779,284,187,257,751,237,139,402,7,18,920,41,64,738,958,516,782,543,379,747,972,956,516,646,81,112,614,860,591,400,379,627,556,171,486
Product 2355,272,38,123,626,583,258,308,593,871,872,701,413,475,442,717,56,477,426,154,793,652,999,764,463,305,399,659,237,588,112,70,32,439,343,838,185,879,764,8,707,682
Product 2356,718,528,971,395,866,540,623,185,426,730,982,53,473,625,531,797,491,617,297,735,497,883,763,581,829,554,458,601,912,768,447,913,400,433,47,785,573,284,552,151,302
Product 2357,376,56,184,309,815,645,889,673,974,705,140,549,272,283,109,675,637,818,150,256,945,759,429,841,577,573,622,17,692,336,798,568,290,350,141,490,638,264,189,136,152
Product 2358,592,589,939,42,433,866,76,116,841,547,529,627,441,378,847,268,971,752,345,401,133,804,897,553,903,690,227,371,904,203,99,839,56,547,673,478,740,454,502,833,342
Product 2359,385,440,279,635,535,281,174,9,903,293,958,913,997,301,655,566,888,721,484,351,113,734,491,73,105,220,543,658,357,592,486,251,220,876,492,246,226,756,95,510,451
Product 2360,928,13,707,996,677,996,349,80,908,757,518,330,289,194,310,528,697,717,543,82,320,266,421,738,333,176,552,358,879,879,628,74,712,2,526,851,768,27,263,436,539
Product 2361,621,592,528,550,631,754,878,64,521,266,220,729,269,249,817,592,482,807,867,327,288,8,427,267,243,600,976,374,628,470,10,318,4,372,471,60,366,420,909,987,499
Product 2362,325,744,794,756,332,973,737,802,680,970,731,963,996,600,650,391,3,178,57,242,8,964,513,102,289,9,537,977,11,794,542,224,325,710,997,1,757,134,771,907,271
Product 2363,212,597,948,663,637,678,456,109,903,225,617,991,328,787,941,976,969,592,597,472,303,672,801,241,589,459,689,440,170,968,428,443,677,409,506,474,639,896,8,717,502
Product 2364,555,281,5,104,30,781,692,101,103,450,531,658,72,813,135,525,708,965,489,929,997,231,135,364,416,634,421,776,573,870,800,757,11,600,665,130,411,559,154,93,128
Product 2365,388,236,796,932,94,608,673,693,671,148,458,744,734,397,609,226,80,940,202,279,85,803,8,561,340,786,65,697,507,256,451,950,758,986,7,708,702,224,407,264,470
Product 2366,827,157,341,329,50,339,507,767,577,348,980,587,634,373,1,848,70,403,132,551,155,782,923,262,496,740,894,888,461,779,776,340,186,401,51,243,699,143,566,898,243
Product 2367,92,3,692,711,986,150,148,264,875,588,283,5,536,913,851,574,673,330,425,350,984,891,52,732,748,955,110,728,311,330,502,76,808,130,362,486,869,622,648,926,523
Product 2368,104,997,994,978,860,587,223,34,172,10,13,556,498,804,852,125,15,856,529,150,885,707,553,850,391,167,271,584,224,698,721,550,441,369,121,447,93,135,673,736,972
Product 2369,119,298,174,126,122,944,21,553,62,222,492,618,842,189,673,169,468,940,19,46,582,356,576,811,551,491,765,548,5,509,796,449,712,790,560,688,65,56,751,247,873
Product 2370,780,480,529,115,591,476,544,619,5,896,954,462,603,740,326,477,69,188,9,756,745,229,363,823,376,623,433,719,558,868,819,442,114,700,814,533,357,897,474,467,934
Product 2371,796,920,739,766,53,707,694,873,92,300,666,84,594,237,566,436,787,285,364,442,97,227,7,523,452,346,491,217,571,412,274,992,855,882,248,529,418,383,611,31,852
Product 2372,26,909,112,940,986,767,126,271,489,990,396,829,767,738,236,292,443,515,268,178,831,620,963,355,767,356,601,53,477,733,696,760,899,838,663,820,265,688,925,766,95
Product 2373,294,205,113,180,137,727,55,156,587,931,146,842,481,254,349,372,353,8,844,87,333,952,239,856,179,698,362,908,718,924,384,637,291,296,868,899,114,931,816,257,940
Product 2374,767,605,710,734,325,98,807,678,60,800,765,382,746,323,638,741,141,685,398,238,582,956,630,581,997,84,701,635,608,145,921,517,327,566,473,94,296,947,582,435,729
Product 2375,12,974,698,457,456,350,581,144,177,900,743,457,267,189,752,34,567,231,686,479,797,497,95,743,321,535,274,74,663,934,840,297,271,718,456,755,995,328,872,255,206
Product 2376,312,672,40,652,656,608,396,93,562,450,232,703,784,575,729,635,419,570,938,763,828,335,706,902,113,470,990,290,644,985,363,886,515,115,627,553,678,529,245,572,252
Product 2377,403,154,563,332,813,649,191,633,48,226,737,309,619,425,626,97,252,413,704,611,642,184,397,523,701,896,514,283,680,400,274,660,936,621,228,685,597,883,605,864,662
Product 2378,268,454,613,487,855,550,923,147,488,544,876,257,862,692,706,372,424,965,177,570,613,27,195,524,931,719,739,463,215,815,110,336,593,995,737,138,707,498,828,442,916
Product 2379,655,930,865,17,307,993,214,24,503,590,953,472,553,173,996,574,349,686,601,827,583,129,654,842,562,774,88,39,127,454,113,472,270,585,501,550,188,186,410,963,489
Product 2380,165,447,269,242,548,621,621,646,861,790,315,875,282,427,156,519,943,812,788,216,767,468,686,823,184,974,744,304,41,863,259,340,883,428,571,280,517,741,184,854,468
Product 2381,338,651,483,902,194,343,126,460,413,695,71,873,477,668,967,132,596,313,573,13,673,808,115,106,727,611,584,480,656,79,815,189,342,950,742,998,317,950,527,200,782
Product 2382,588,552,210,354,644,450,413,660,751,19,915,526,483,209,58,673,858,985,754,967,707,719,178,342,929,61,571,41,879,8,254,745,347,635,561,937,107,49,449,459,426
Product 2383,471,502,624,364,626,859,553,130,931,726,206,864,433,320,301,750,859,874,545,167,302,861,693,94,241,912,643,79,212,752,215,758,513,174,704,952,328,28,601,870,477
Product 2384,437,648,909,798,830,91,384,420,698,131,507,49,640,705,405,306,20,686,778,471,689,502,672,546,870,743,860,987,73,396,475,139,932,643,375,721,18,647,587,93,354
Product 2385,824,162,388,722,421,846,16,432,888,921,785,769,573,570,186,288,513,726,250,423,692,320,778,229,88,267,921,512,358,767,804,420,684,94,671,463,3,63,372,839,412
Product 2386,180,446,157,18,486,565,214,333,713,277,934,663,50,135,151,308,961,405,222,334,565,262,519,710,713,384,829,477,864,813,676,154,551,97,904,921,62,414,472,659,368
Product 2387,731,523,628,435,798,728,581,135,608,252,674,630,504,593,353,21,483,848,317,867,825,394,503,478,188,306,55,303,198,0,571,280,976,358,822,681,916,516,552,91,433
Product 2388,34,396,83,995,25,806,841,675,95,9,96,163,676,397,729,670,332,147,932,251,382,407,254,543,83,365,429,782,290,374,587,497,891,634,609,399,580,920,799,856,384
Product 2389,534,566,942,182,61,386,212,218,443,542,826,787,946,257,934,796,944,226,179,335,927,468,531,250,341,101,374,42,81,68,300,311,40,817,561,547,189,448,137,752,543
Product 2390,759,148,93,860,788,176,74,94,141,716,951,450,981,866,721,968,217,663,409,255,58,32,978,934,25,325,809,42,344,294,98,153,126,275,565,287,368,352,680,179,302
Product 2391,374,220,490,721,868,643,446,836,830,146,511,562,575,68,241,691,290,607,623,587,47,644,316,894,279,808,3,300,945,715,853,714,175,381,453,452,305,285,984,240,709
Product 2392,202,430,296,227,362,246,664,148,6,370,200,444,200,699,130,969,848,986,454,676,693,526,76,893,275,327,549,615,672,613,21,457,877,457,440,234,664,154,209,888,188
Product 2393,480,8,279,546,565,806,216,295,964,909,962,510,997,995,151,495,346,804,346,365,501,24,280,516,460,655,58,638,826,534,377,448,846,914,77,452,914,308,351,343,176
Product 2394,741,27,615,14,28,120,761,179,748,188,997,166,148,803,904,337,767,304,787,553,616,361,615,67,586,19,594,590,318,28,489,961,988,173,971,438,448,375,910,519,341
Product 2395,679,246,742,640,85,734,398,25,130,465,285,548,314,862,458,958,319,251,695,735,376,665,646,160,476,741,328,980,418,346,679,803,368,634,737,118,384,734,274,316,955
Product 2396,722,889,880,995,288,15,796,856,151,832,425,372,802,371,642,676,654,671,191,808,622,101,310,779,95,742,830,350,289,417,944,848,503,850,559,635,820,554,684,964,268
Product 2397,535,556,839,440,939,219,269,920,107,364,377,920,713,236,901,788,784,205,547,294,31,437,22,900,529,514,185,105,656,894,362,408,57,578,730,595,122,77,513,482,856
Product 2398,106,710,75,260,462,298,446,79,470,684,631,114,685,645,391,289,979,907,843,232,898,447,516,983,121,336,9,168,911,820,756,188,4,588,740,556,316,518,170,535,106
Product 2399,515,576,300,717,802,153,943,921,188,905,100,277,800,633,20,174,917,615,345,388,226,240,644,172,993,18,953,873,104,269,228,433,452,664,4,589,152,330,72,573,773
Product 2400,613,922,870,463,658,16,476,892,895,944,486,109,341,457,922,268,859,552,289,32,991,377,572,819,150,147,377,334,942,204,102,164,654,404,123,23,664,916,982,345,456
Product 2401,771,783,989,9,125,463,960,403,877,301,269,406,450,10,300,608,374,321,225,292,372,679,727,453,105,413,355,14,379,332,776,214,980,535,770,298,785,44,805,920,262
Product 2402,715,435,190,223,402,752,829,442,636,354,872,847,115,41,731,733,731,776,418,325,506,528,494,553,664,421,63,683,829,967,616,548,335,991,156,463,412,53,262,542,85
Product 2403,945,802,741,797,489,20,905,417,479,545,693,16,306,587,315,40,855,882,707,246,883,646,698,391,948,239,838,684,912,504,833,485,413,46,476,434,904,900,360,690,461
Product 2404,922,776,999,85,177,545,111,934,407,677,189,520,364,221,67,10,781,902,825,389,445,402,402,538,570,8,657,311,358,605,191,456,870,768,635,558,61,421,89,337,139
Product 2405,353,812,763,33,897,439,191,217,449,878,611,764,463,678,855,885,164,103,324,824,583,608,300,928,439,503,730,539,764,829,663,60,170,357,609,80,655,99,229,542,604
Product 2406,44,844,255,32,378,606,456,591,831,60,336,712,319,111,527,495,475,492,497,990,201,467,496,548,34,587,725,457,3,820,590,741,550,925,981,271,936,46,575,398,624
Product 2407,436,283,469,568,957,59,233,32,971,397,907,743,765,503,719,914,876,723,324,148,658,924,839,63,227,792,722,200,63,300,362,144,399,273,787,673,15,724,226,878,251
Product 2408,226,26,590,212,882,549,740,669,126,775,101,326,894,172,394,283,298,118,101,845,508,147,662,95,581,978,272,426,876,740,15,225,601,149,100,623,169,939,466,821,888
Product 2409,391,449,698,366,523,759,313,455,137,516,850,66,738,433,467,950,925,749,165,233,982,390,494,186,370,58,669,868,910,290,533,277,441,165,951,279,301,736,663,291,605
Product 2410,626,353,844,34,538,819,2,579,507,559,772,534,595,181,310,788,850,0,562,297,718,281,360,966,140,352,719,952,900,107,963,695,812,967,808,501,373,407,450,206,183
Product 2411,300,130,202,783,64,993,477,114,11,424,452,944,965,800,2,216,553,438,24,799,365,491,451,440,220,142,610,267,395,773,193,470,817,609,948,836,478,641,770,455,884
Product 2412,879,665,150,915,231,67,125,873,886,207,210,503,803,76,892,975,162,647,536,123,385,875,891,588,491,228,169,156,599,374,311,41,329,828,921,285,119,118,1000,716,146
Product 2413,269,407,800,70,518,619,679,148,481,35,726,853,461,149,428,172,544,308,306,629,741,397,649,614,129,428,834,740,520,209,355,572,368,739,176,673,252,393,201,303,940
Product 2414,793,391,461,525,612,633,266,750,526,561,962,666,298,630,716,989,992,309,442,121,317,476,583,553,444,480,551,772,366,728,994,855,517,255,731,214,317,315,621,450,64
Product 2415,423,278,935,862,993,91,551,744,32,397,507,723,401,633,34,399,384,70,252,671,194,271,377,730,889,225,625,810,33,538,701,679,594,111,272,268,942,518,250,796,820
Product 2416,387,673,950,885,72,346,216,774,704,697,137,724,336,600,9,150,536,320,498,673,703,172,893,386,633,207,59,89,252,22,697,705,525,759,280,970,27,195,996,15,536
Product 2417,306,353,702,25,333,582,620,984,617,751,835,150,806,892,697,199,20,601,42,46,363,404,521,409,847,591,816,166,673,143,87,10,105,106,34,669,508,395,410,871,775
Product 2418,873,211,715,217,154,621,715,606,262,415,924,913,27,125,68,41,175,689,310,718,822,304,829,417,41,140,706,569,257,896,62,152,0,572,252,872,556,58,48,712,886
Product 2419,358,794,709,11,190,883,566,720,255,496,542,828,294,305,499,1,190,191,859,635,834,525,847,270,902,901,381,109,111,418,268,967,740,257,319,25,245,773,85,191,103
Product 2420,705,808,847,985,739,450,947,641,283,817,983,769,627,379,754,813,467,869,481,168,452,788,711,806,870,743,371,332,115,728,590,476,256,364,68,468,108,645,361,788,265
Product 2421,738,946,913,499,808,708,939,167,499,458,246,278,631,928,710,7,511,837,924,844,729,739,430,121,59,613,517,746,692,183,675,338,782,231,370,314,56,575,602,284,564
Product 2422,912,313,875,707,905,713,752,713,134,55,377,770,634,903,713,3,881,74,700,268,912,434,932,578,541,651,129,434,293,835,520,222,41,341,805,521,206,986,239,712,969
Product 2423,35,588,680,100,389,859,376,988,58,29,452,848,304,829,6,737,586,849,919,610,239,815,494,280,283,224,908,656,220,418,391,938,968,37,856,389,560,417,955,957,304
Product 2424,826,348,80,927,458,190,757,809,570,96,222,224,314,206,246,614,124,824,61,274,389,813,8,219,551,211,363,82,838,939,26,824,719,579,308,921,103,937,106,964,912
Product 2425,743,991,754,338,188,983,482,883,83,591,426,175,479,427,130,28,844,653,792,769,93,618,191,38,155,795,852,584,730,107,269,673,486,394,818,828,855,476,858,389,365
Product 2426,382,551,603,338,831,422,817,655,410,527,43,980,665,655,963,299,543,651,16,668,99,750,849,180,882,104,184,684,521,675,630,886,873,243,801,504,640,872,953,820,259
Product 2427,377,724,857,284,418,277,443,729,362,483,6,899,628,475,185,802,867,901,226,278,892,877,719,933,8,282,547,19,178,329,79,530,452,373,697,769,551,190,925,880,162
Product 2428,324,751,505,908,239,926,299,661,775,487,899,925,6,793,49,459,670,707,16,518,898,469,762,315,778,782,699,801,981,972,132,197,540,373,986,102,649,864,771,54,490
Product 2429,842,221,715,604,550,584,466,510,428,995,286,149,463,722,707,658,804,465,417,429,407,470,802,314,178,533,549,367,316,854,601,207,475,536,194,67,820,110,383,840,986
Product 2430,897,826,841,172,685,909,276,379,676,138,614,31,977,335,948,93,758,477,639,736,740,855,357,934,737,440,760,362,965,39,958,582,251,810,14,585,912,933,780,248,630
Product 2431,352,858,835,884,176,652,479,238,930,358,89,998,339,520,452,525,530,429,987,172,203,844,262,586,317,152,408,386,607,416,679,892,667,671,867,23,344,844,71,552,149
Product 2432,710,451,772,821,416,150,451,66,73,797,187,898,560,164,155,122,149,94,847,254,842,583,722,954,358,860,545,488,910,537,314,725,542,56,358,911,534,399,383,839,842
Product 2433,620,680,713,427,29,847,274,548,729,106,213,410,735,769,292,873,374,569,738,137,301,977,876,913,354,752,305,64,776,962,308,49,579,156,285,931,198,205,936,556,61
Product 2434,713,788,981,394,71,867,643,724,402,645,511,782,502,791,463,21,86,961,890,614,569,388,301,33,435,664,419,665,299,512,232,467,401,510,132,613,609,710,214,3,651
Product 2435,392,86,980,602,144,343,239,705,405,636,29,174,244,50,915,682,365,860,877,201,996,452,503,971,911,587,92,546,986,370,142,732,618,369,718,985,444,819,901,107,776
Product 2436,227,346,926,703,728,907,567,948,301,180,189,99,799,288,968,46,773,147,863,60,682,138,414,342,490,433,75,960,454,245,930,703,338,763,753,425,947,996,201,536,490
Product 2437,130,321,170,164,780,683,354,666,732,958,139,276,538,653,955,338,52,558,269,7,271,983,307,983,137,682,891,566,564,6,693,103,285,32,423,460,725,23,498,898,731
Product 2438,732,395,282,24,522,709,719,32,913,371,873,254,165,695,373,149,211,557,39,889,455,290,611,737,320,272,54,362,298,775,30,965,885,837,401,119,650,584,982,132,495
Product 2439,195,1,321,925,213,97,198,975,804,103,468,24,899,935,195,701,760,794,762,256,481,218,306,282,442,351,829,961,51,457,952,433,592,231,762,169,635,177,4,74,768
Product 2440,41,227,390,930,444,2,134,639,993,126,820,846,867,231,696,15,694,587,732,418,145,67,819,735,406,777,190,654,648,143,421,831,868,919,536,552,385,707,260,84,640
Product 2441,515,524,995,80,452,622,520,800,837,72,503,584,949,161,707,663,174,557,186,285,622,592,244,448,553,107,867,310,624,532,890,151,192,493,479,770,345,435,938,412,712
Product 2442,697,126,937,830,826,547,428,419,84,814,314,637,181,748,896,885,622,780,111,579,890,611,401,275,26,642,862,417,260,198,464,326,786,866,915,312,386,178,981,955,591
Product 2443,528,15,558,357,899,525,30,731,419,57,202,578,111,615,212,360,410,404,253,826,186,65,925,78,234,621,864,133,160,433,32,57,533,369,685,499,172,630,730,866,729
Product 2444,117,782,491,4,731,616,138,915,144,685,382,484,197,107,902,247,425,661,821,372,79,142,644,798,611,255,90,351,972,107,227,224,778,305,566,507,518,175,715,362,747
Product 2445,190,581,795,245,267,996,337,999,636,826,947,808,148,840,593,404,148,547,372,616,906,925,966,537,401,99,754,568,946,920,496,36,239,821,641,892,286,674,886,725,97
Product 2446,426,521,842,442,1000,491,183,384,380,906,979,434,32,328,394,381,438,416,753,586,775,509,299,497,527,324,642,473,307,112,778,39,919,633,216,539,222,247,580,333,765
Product 2447,598,590,974,490,854,565,463,456,622,400,843,644,956,186,620,222,260,5,103,55,349,712,936,4,284,462,84,427,804,338,228,74,628,716,722,632,337,718,800,211,445
Product 2448,964,746,397,41,181,517,421,117,711,796,508,809,279,953,248,244,628,936,850,3,190,253,104,500,690,714,209,611,426,78,742,956,755,216,548,740,362,526,457,251,497
Product 2449,301,317,905,396,316,126,101,582,390,79,829,610,538,676,174,795,202,824,79,639,659,887,875,424,172,761,730,851,245,293,130,202,748,451,5,108,896,796,868,893,309
Product 2450,402,662,605,991,6,746,962,346,48,611,29,234,872,738,643,61,569,824,57,134,705,166,227,980,740,236,55,147,848,573,582,373,589,243,128,628,311,111,474,257,952
Product 2451,404,1,681,839,920,512,246,631,301,210,891,73,416,270,152,485,873,877,51,443,989,749,842,950,930,315,340,71,525,178,975,934,944,494,179,176,104,344,413,992,557
